customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.PaperlessBilling,account.Charges.Monthly,account.Charges.Total,account.Cuentas_Diarias,internet.InternetService_Fiber optic,internet.InternetService_No,account.Contract_One year,account.Contract_Two year,account.PaymentMethod_Credit card (automatic),account.PaymentMethod_Electronic check,account.PaymentMethod_Mailed check,PaymentMethod,Contract
0017-DINOC,0,Male,0,0,0,0.880734693482843,0,0,1,0,0,1,1,0,0,-0.6501512369839195,0.07977279668494497,-0.6501512369839192,False,False,False,True,True,False,False,Credit card (automatic),Two year
0017-IUDMW,0,Female,0,1,1,1.6137012404433893,1,1,1,1,1,1,1,1,1,1.7295420672539685,2.7251938132785094,1.7295420672539685,True,False,False,True,True,False,False,Credit card (automatic),Two year
0018-NYROU,0,Female,0,1,0,-1.1145631287986442,1,0,0,0,0,0,0,0,1,0.13920233809498894,-0.8507040378180165,0.13920233809498914,True,False,False,False,False,True,False,Electronic check,Month-to-month
0019-EFAEP,0,Female,0,0,0,1.6137012404433893,1,1,1,1,1,0,1,0,1,1.2143849972024705,2.197759634075413,1.2143849972024705,True,False,False,True,False,False,False,Otro,Two year
0019-GFNTW,0,Female,0,0,0,0.9621754209229036,0,0,1,1,1,1,0,0,0,-0.6551366279844181,0.1236925562329735,-0.6551366279844179,False,False,False,True,False,False,False,Otro,Two year
0020-INWCK,0,Female,0,1,1,1.5729808767233588,1,1,0,1,1,0,0,1,1,1.0299255301840309,2.0160584490442166,1.0299255301840313,True,False,False,True,True,False,False,Credit card (automatic),Two year
0020-JDNXP,0,Female,0,1,1,0.06632741908223598,0,0,1,0,1,1,1,1,0,-0.11671439993059413,-0.1264140403293312,-0.11671439993059396,False,False,True,False,False,False,True,Mailed check,One year
0021-IKXGC,0,Female,1,0,0,-1.2774445836787656,1,1,0,0,0,0,0,0,1,0.2438955491054544,-0.9739705452787821,0.24389554910545486,True,False,False,False,False,True,False,Electronic check,Month-to-month
0022-TCJCI,1,Male,1,0,0,0.5142514200025698,1,0,1,0,1,0,0,1,0,-0.06852228692577646,0.22578228360026462,-0.06852228692577594,False,False,True,False,True,False,False,Credit card (automatic),One year
0023-HGHWL,1,Male,1,0,0,-1.2774445836787656,0,0,0,0,0,0,0,0,1,-1.3181936310507012,-0.9947061424536424,-1.3181936310507008,False,False,False,False,False,True,False,Electronic check,Month-to-month
0023-UYUPN,0,Female,1,1,0,0.7178532386027215,1,1,0,0,0,0,0,0,0,-1.3148700370503688,-0.429462587125322,-1.3148700370503685,False,True,True,False,False,True,False,Electronic check,One year
0023-XUOPT,1,Female,0,1,0,-0.7888002190384014,1,1,0,1,1,0,1,0,0,0.9750862291785486,-0.4694778778436163,0.9750862291785486,True,False,False,False,False,True,False,Electronic check,Month-to-month
0027-KWYKW,0,Female,0,1,1,-0.38159658183809786,1,1,0,0,0,0,1,0,1,0.6310942501441613,-0.1896134934207938,0.6310942501441614,True,False,False,False,False,True,False,Electronic check,Month-to-month
0030-FNXPP,0,Female,0,0,0,-1.1960038562387048,1,0,0,0,0,0,0,0,0,-1.4926823160681442,-0.9805441707661314,-1.4926823160681437,False,True,False,False,False,False,True,Mailed check,Month-to-month
0031-PVLZI,1,Female,0,1,1,-1.1552834925186746,1,0,0,0,0,0,0,0,0,-1.4760643460664828,-0.9720955178746724,-1.4760643460664824,False,True,False,False,False,False,True,Mailed check,Month-to-month
0032-PGELS,1,Female,0,1,1,-1.2774445836787656,0,0,1,0,0,0,0,0,0,-1.1387195550327598,-0.9923237546931265,-1.1387195550327596,False,False,False,False,False,False,False,Otro,Month-to-month
0036-IHMOT,0,Female,0,1,1,0.9214550572028734,1,0,0,1,1,1,1,1,1,1.2941512532104444,1.4898816411591704,1.2941512532104444,True,False,True,False,False,False,False,Otro,One year
0040-HALCW,0,Male,0,1,1,0.880734693482843,1,0,0,0,0,0,0,0,0,-1.4744025490663168,-0.5246257426703725,-1.4744025490663164,False,True,False,True,True,False,False,Credit card (automatic),Two year
0042-JVWOJ,0,Male,0,0,0,-0.2594354906780068,1,0,0,0,0,0,0,0,1,-1.5009913010689746,-0.7976076735628157,-1.5009913010689742,False,True,True,False,False,False,False,Otro,One year
0042-RLHYP,0,Female,0,1,1,1.4915401492832983,1,0,0,0,0,0,0,0,0,-1.4976677070686424,-0.389491414698889,-1.497667707068642,False,True,False,True,False,False,False,Otro,Two year
0048-LUMLS,0,Male,0,1,1,0.18848851024232702,1,0,0,0,0,0,1,1,0,0.8787020031689138,0.42698375363420205,0.8787020031689139,True,False,True,False,True,False,False,Credit card (automatic),One year
0048-PIHNL,0,Female,0,1,0,0.6771328748826912,1,0,0,0,0,0,0,0,0,-1.4727407520661506,-0.6083181423314576,-1.4727407520661502,False,True,True,False,False,False,False,Otro,One year
0052-DCKON,0,Male,0,1,0,1.369379058123207,1,1,1,1,1,1,1,1,0,1.6963061272506461,2.498161083359719,1.6963061272506463,True,False,True,False,False,False,False,Otro,One year
0052-YNYOT,0,Female,0,0,0,1.4100994218432374,1,0,0,0,0,0,0,0,0,-1.4694171580658184,-0.41309470084474065,-1.469417158065818,False,True,True,False,False,True,False,Electronic check,One year
0056-EPFBG,0,Male,0,1,1,-0.5037576729981889,0,0,1,0,1,1,0,0,1,-0.84291968900319,-0.6416274526868184,-0.8429196890031897,False,False,False,True,True,False,False,Credit card (automatic),Two year
0057-QBUQH,0,Female,0,0,1,0.43281069256250915,1,1,0,0,0,0,0,0,1,-1.3181936310507012,-0.5336479333560298,-1.3181936310507008,False,True,False,True,False,True,False,Electronic check,Two year
0058-EVZWM,0,Female,0,1,0,0.9214550572028734,1,1,1,0,0,0,1,0,1,0.8321716871642622,1.182310969447386,0.8321716871642623,True,False,False,False,False,False,False,Otro,Month-to-month
0060-FUALY,0,Female,0,1,0,1.0843365120829946,1,1,1,1,0,0,1,0,1,0.9966895901807084,1.46380773066908,0.9966895901807085,True,False,False,False,False,True,False,Electronic check,Month-to-month
0064-SUDOG,0,Female,0,1,1,-0.8295205827584317,1,0,0,0,0,0,0,0,0,-1.477726143066649,-0.9067342684820009,-1.4777261430666484,False,True,False,True,False,False,False,Otro,Two year
0064-YIJGF,0,Male,0,1,1,-0.21871512695797646,1,1,0,0,0,0,0,0,1,0.3652067301175816,-0.1547379837043532,0.36520673011758176,True,False,False,False,False,False,False,Otro,Month-to-month
0067-DKWBL,1,Male,1,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,1,-0.5155456799704636,-0.9655880698251151,-0.5155456799704634,False,False,False,False,False,True,False,Electronic check,Month-to-month
0068-FIGTF,0,Female,0,0,0,-0.21871512695797646,1,0,0,1,1,1,1,1,0,0.44663478312572175,-0.08858260505817654,0.44663478312572213,False,False,True,False,False,False,True,Mailed check,One year
0071-NDAFP,0,Male,0,1,1,-0.30015585439803716,1,1,0,0,0,0,0,0,0,-1.304899255049372,-0.7275698852328354,-1.3048992550493717,False,True,False,True,True,False,False,Credit card (automatic),Two year
0074-HDKDG,0,Male,0,1,1,-0.30015585439803716,1,0,1,1,1,0,0,0,1,-0.10508182092943122,-0.295034151823621,-0.10508182092943105,False,False,True,False,False,False,False,Otro,One year
0076-LVEPS,0,Male,0,0,1,-0.13727439951791576,0,0,1,1,1,1,0,0,1,-0.6567984249845842,-0.457632116478829,-0.6567984249845837,False,False,False,False,False,False,True,Mailed check,Month-to-month
0078-XZMHT,0,Male,0,1,0,1.6137012404433893,1,1,0,1,1,1,1,1,1,0.677624566148813,1.7808197168392055,0.6776245661488131,False,False,False,True,False,False,False,Otro,Two year
0080-EMYVY,0,Female,0,0,0,-0.748079855318371,1,0,0,1,0,0,0,0,0,-0.4424266119631542,-0.684664846397619,-0.44242661196315386,False,False,True,False,True,False,False,Credit card (automatic),One year
0080-OROZO,0,Female,0,0,0,0.10704778280226633,1,0,0,0,1,1,1,1,1,1.1462513201956595,0.5524782348339684,1.1462513201956595,True,False,True,False,False,True,False,Electronic check,One year
0082-LDZUE,0,Male,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,1,-0.6800635829869099,-0.9862354304162525,-0.6800635829869096,False,False,False,False,False,False,True,Mailed check,Month-to-month
0082-OQIQY,0,Male,0,0,0,-0.13727439951791576,1,0,0,0,0,1,1,1,1,0.9784098231788811,0.14464874486714085,0.9784098231788814,True,False,False,False,False,True,False,Electronic check,Month-to-month
0083-PIVIK,0,Male,0,0,0,1.2879383306831464,1,1,1,1,1,1,1,0,0,0.5480044001358552,1.4505281248187973,0.5480044001358555,False,False,True,False,False,True,False,Electronic check,One year
0089-IIQKO,0,Female,0,1,1,0.26992923768238775,1,1,0,0,0,1,1,1,1,1.1695164781979852,0.6563326938757157,1.1695164781979852,True,False,False,False,True,False,False,Credit card (automatic),Month-to-month
0093-EXYQL,0,Female,1,0,0,0.3106496014024181,1,0,0,0,0,0,1,1,1,0.8903345821700764,0.6149497361097178,0.8903345821700768,True,False,False,False,False,True,False,Electronic check,Month-to-month
0093-XWZFY,1,Male,0,0,0,0.3106496014024181,1,1,0,1,1,0,1,1,1,1.3207400052131024,0.7752094312962713,1.3207400052131026,True,False,False,False,True,False,False,Credit card (automatic),Month-to-month
0094-OIFMO,1,Female,1,0,0,-0.8702409464784621,1,0,0,1,0,0,1,1,1,1.0049985751815391,-0.5115226099875352,1.0049985751815391,True,False,False,False,False,True,False,Electronic check,Month-to-month
0096-BXERS,0,Female,0,1,0,-1.0738427650786138,1,1,0,0,0,0,0,0,0,-0.47898614596680894,-0.8670057466608058,-0.4789861459668085,False,False,False,False,False,True,False,Electronic check,Month-to-month
0096-FCPUF,0,Male,0,0,0,-0.0965540357978854,1,1,1,0,0,0,0,1,1,-0.00869759491979612,-0.1726279510541529,-0.008697594919795913,False,False,False,False,False,False,True,Mailed check,Month-to-month
0098-BOWSO,0,Male,0,0,0,-0.21871512695797646,1,0,0,0,0,0,0,0,1,-1.5076384890696393,-0.7720411234291316,-1.5076384890696388,False,True,False,False,False,True,False,Electronic check,Month-to-month
0100-DUVFC,0,Male,1,1,0,1.5322605130033284,1,1,0,1,1,0,1,1,1,1.330710787214099,2.218804059293303,1.330710787214099,True,False,True,False,False,True,False,Electronic check,One year
0103-CSITQ,0,Female,0,1,0,1.002895784642934,1,1,0,1,1,1,1,1,1,1.4835961112293827,1.7528046015072132,1.483596111229383,True,False,True,False,False,False,False,Otro,One year
0104-PPXDV,0,Male,0,1,0,1.0436161483629645,1,0,0,0,1,0,0,0,0,-0.4806479429669752,0.2641872566656177,-0.4806479429669749,False,False,True,False,True,False,False,Credit card (automatic),One year
0106-GHRQR,0,Male,0,0,0,-0.6666391278783103,1,1,0,1,1,0,0,1,1,0.22063039110312907,-0.4710220180587655,0.2206303911031295,False,False,False,False,False,False,False,Otro,Month-to-month
0106-UGRDO,0,Female,0,1,0,1.4915401492832983,1,1,1,1,1,1,1,1,1,1.7029533152513108,2.6043538118701215,1.7029533152513108,True,False,False,True,False,True,False,Electronic check,Two year
0107-WESLM,1,Male,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,1,-1.4926823160681442,-0.9970223527763662,-1.4926823160681437,False,True,False,False,False,True,False,Electronic check,Month-to-month
0107-YHINA,1,Male,0,0,1,-1.2774445836787656,1,1,0,0,1,0,1,1,1,1.1628692901973208,-0.9617718375791036,1.162869290197321,True,False,False,False,False,True,False,Electronic check,Month-to-month
0111-KLBQG,0,Male,1,1,1,-0.015113308357824713,1,0,0,1,0,0,1,1,1,0.9701008381780505,0.2566430287573173,0.9701008381780507,True,False,False,False,False,False,True,Mailed check,Month-to-month
0112-QAWRZ,0,Male,0,1,1,-0.6666391278783103,1,1,0,0,1,0,1,0,1,0.8654076271675846,-0.3695058284856726,0.8654076271675846,True,False,False,False,False,False,False,Otro,Month-to-month
0112-QWPNC,1,Male,0,1,0,0.6771328748826912,1,1,1,0,1,1,1,1,0,0.6510358141461546,0.7851360469650874,0.6510358141461549,False,False,True,False,False,True,False,Electronic check,One year
0114-IGABW,0,Female,0,1,0,1.5729808767233588,0,0,0,1,1,1,1,1,0,-0.21642221994056152,0.8233204285711333,-0.2164222199405612,False,False,False,True,False,False,False,Otro,Two year
0114-PEGZZ,0,Female,0,0,0,0.025607055362205634,1,1,0,1,1,0,1,1,0,1.422109622223236,0.6025524960966631,1.4221096222232361,True,False,False,False,False,True,False,Electronic check,Month-to-month
0114-RSRRW,0,Female,0,1,0,-0.9109613101984924,1,0,0,0,0,0,0,0,1,-1.4893587220678117,-0.9229477407410672,-1.4893587220678113,False,True,False,False,False,False,False,Otro,Month-to-month
0115-TFERT,1,Male,0,1,0,-0.46303730927815856,1,1,0,1,1,1,1,1,1,1.5434208032353631,0.01648510700975942,1.543420803235363,True,False,False,False,False,True,False,Electronic check,Month-to-month
0117-LFRMW,1,Male,0,1,1,0.18848851024232702,0,0,1,1,1,0,0,0,0,-0.8163309370005319,-0.36659402122281987,-0.8163309370005315,False,False,False,False,False,False,False,Otro,Month-to-month
0118-JPNOY,0,Female,1,0,0,-0.2594354906780068,1,0,1,0,0,0,1,0,1,0.6992279271509723,-0.03797892429314493,0.6992279271509725,True,False,False,False,True,False,False,Credit card (automatic),Month-to-month
0121-SNYRK,0,Male,0,0,0,0.7178532386027215,0,0,1,0,0,1,0,0,1,-0.9758634490164798,-0.23419502734674352,-0.9758634490164795,False,False,True,False,False,False,True,Mailed check,One year
0122-OAHPZ,1,Female,0,0,0,-1.0331224013585834,1,1,0,0,0,0,0,0,1,0.3020584441112687,-0.7802250665694221,0.302058444111269,True,False,False,False,False,True,False,Electronic check,Month-to-month
0123-CRBRT,0,Female,0,1,1,1.1657772395230555,1,1,1,1,1,1,1,1,0,0.7756705891586139,1.432527861739344,0.7756705891586141,False,False,False,True,False,False,True,Mailed check,Two year
0125-LZQXK,1,Male,0,0,0,-0.7073594915983407,1,0,0,0,1,1,1,1,1,1.2160467942026365,-0.3202036373305525,1.2160467942026365,True,False,False,False,False,True,False,Electronic check,Month-to-month
0128-MKWSG,0,Female,0,0,1,-0.2594354906780068,0,0,1,0,0,1,0,1,0,-0.6302096729819263,-0.49974302606054005,-0.6302096729819259,False,False,False,False,False,False,True,Mailed check,Month-to-month
0129-KPTWJ,0,Male,0,1,0,1.6137012404433893,1,0,0,0,1,0,1,1,1,0.9933659961803764,1.9710357321996532,0.9933659961803766,True,False,False,False,False,True,False,Electronic check,Month-to-month
0129-QMPDR,0,Male,0,1,1,0.47353105628253944,1,0,0,0,0,0,0,0,1,-1.4710789550659844,-0.6241345499637714,-1.471078955065984,False,True,True,False,False,False,False,Otro,One year
0130-SXOUN,0,Male,0,0,0,1.369379058123207,1,1,0,1,0,0,0,1,0,0.8188773111629334,1.6311263525534583,0.8188773111629334,True,False,False,False,True,False,False,Credit card (automatic),Month-to-month
0133-BMFZO,1,Female,0,0,0,-1.2367242199587352,1,0,1,1,0,1,0,0,1,0.7141841001524675,-0.9256389565446128,0.7141841001524677,True,False,False,False,False,True,False,Electronic check,Month-to-month
0134-XWXCE,0,Female,1,0,0,0.47353105628253944,1,0,0,0,1,1,1,1,0,0.33529438411459117,0.43602800346579007,0.3352943841145913,False,False,True,False,False,False,False,Otro,One year
0135-NMXAP,1,Female,0,0,0,-0.8295205827584317,1,1,0,1,0,0,1,0,1,0.830509890164096,-0.5414789301614291,0.8305098901640963,True,False,False,False,False,False,False,Otro,Month-to-month
0136-IFMYD,0,Male,1,1,0,1.4915401492832983,1,1,0,1,1,1,1,1,1,1.5018758782312098,2.3623208627184535,1.50187587823121,True,False,False,True,False,True,False,Electronic check,Two year
0137-OCGAB,1,Female,0,0,0,-1.2774445836787656,1,1,0,1,0,0,0,0,1,0.5131066631323666,-0.9703969636380083,0.5131066631323667,True,False,False,False,False,False,True,Mailed check,Month-to-month
0137-UDEUO,1,Female,0,0,0,-1.1960038562387048,1,0,0,0,0,0,0,0,0,-1.4926823160681442,-0.9776544226492093,-1.4926823160681437,False,True,False,False,False,False,True,Mailed check,Month-to-month
0139-IVFJG,0,Female,0,1,0,-1.2367242199587352,1,0,1,1,0,0,1,0,0,0.8504514541660894,-0.9217344877148785,0.8504514541660894,True,False,False,False,False,True,False,Electronic check,Month-to-month
0141-YEAYS,0,Female,1,0,0,-0.21871512695797646,1,1,0,1,1,0,0,0,1,0.720831288153132,0.05352241302740901,0.7208312881531324,True,False,False,False,False,False,False,Otro,Month-to-month
0142-GVYSN,0,Male,0,0,0,-0.2594354906780068,1,0,0,0,0,0,0,0,1,-1.477726143066649,-0.7802250665694221,-1.4777261430666484,False,True,False,False,False,True,False,Electronic check,Month-to-month
0147-ESWWR,0,Female,1,1,0,0.26992923768238775,1,1,0,0,0,1,1,1,1,1.2127232002023045,0.7365176893338192,1.2127232002023045,True,False,False,False,False,True,False,Electronic check,Month-to-month
0148-DCDOS,1,Male,0,0,0,-0.30015585439803716,1,1,0,0,0,0,1,1,1,0.9950277931805424,0.036338338347391655,0.9950277931805425,True,False,False,False,False,False,False,Otro,Month-to-month
0151-ONTOV,1,Female,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0.20401242110146783,-0.9744999647811189,0.2040124211014683,True,False,False,False,False,False,True,Mailed check,Month-to-month
0156-FVPTA,1,Male,0,1,0,-0.4223169455581282,1,0,1,0,0,1,0,0,1,-0.3510277769540174,-0.49722828342444,-0.35102777695401693,False,False,False,False,False,True,False,Electronic check,Month-to-month
0164-APGRB,0,Female,0,0,0,1.6137012404433893,1,1,1,1,1,1,1,1,1,1.6663937812476561,2.742819070877141,1.6663937812476561,True,False,False,True,False,True,False,Electronic check,Two year
0164-XAIRP,0,Female,0,0,0,-0.3408762181180675,1,0,0,0,0,0,0,0,1,-1.502653098069141,-0.7983356253785289,-1.5026530980691402,False,True,False,True,False,False,False,Otro,Two year
0168-XZKBB,0,Female,0,1,0,-0.5444780367182193,1,1,0,0,0,0,1,0,1,0.7341256641544608,-0.3155932758310357,0.7341256641544611,True,False,False,False,False,True,False,Electronic check,Month-to-month
0174-QRVVY,0,Male,0,1,1,1.5729808767233588,1,1,0,0,0,0,0,0,0,-1.3098846460498705,-0.19067233242546758,-1.3098846460498699,False,True,False,True,True,False,False,Credit card (automatic),Two year
0177-PXBAT,0,Male,1,1,0,0.025607055362205634,1,1,1,0,1,1,1,1,1,1.5002140812310438,0.6242586956924742,1.500214081231044,True,False,False,False,False,False,False,Otro,Month-to-month
0178-CIIKR,0,Female,0,0,0,-1.1960038562387048,1,0,0,0,0,0,0,0,0,-1.4893587220678117,-0.9801912244312402,-1.4893587220678113,False,True,False,False,False,False,True,Mailed check,Month-to-month
0178-SZBHO,0,Male,0,1,1,0.5956921474426305,1,1,0,1,0,0,1,0,0,0.7457582431556239,0.7666504826751588,0.7457582431556241,True,False,False,False,False,True,False,Electronic check,Month-to-month
0181-RITDD,0,Male,0,1,1,1.2064976032430856,1,0,1,1,1,1,1,1,0,1.4420511862252297,2.005580354727133,1.4420511862252294,True,False,False,True,False,False,True,Mailed check,Two year
0186-CAERR,0,Male,0,0,0,1.5729808767233588,1,1,1,1,1,1,1,1,1,1.7129240972523074,2.660251687658521,1.7129240972523074,True,False,True,False,False,False,False,Otro,One year
0187-QSXOE,0,Male,1,1,0,-1.0331224013585834,1,0,0,0,0,0,1,1,1,0.8055829351616043,-0.7386656356359786,0.8055829351616045,True,False,False,False,False,True,False,Electronic check,Month-to-month
0187-WZNAB,0,Female,0,1,1,-0.21871512695797646,1,0,1,0,0,0,0,0,0,0.32033821111309646,-0.1356127041824342,0.3203382111130965,True,False,False,False,False,False,True,Mailed check,Month-to-month
0188-GWFLE,0,Male,0,0,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,-1.4860351280674797,-0.9909119693535616,-1.486035128067479,False,True,False,False,False,False,True,Mailed check,Month-to-month
0191-EQUUH,0,Female,0,0,1,-0.30015585439803716,0,0,1,0,0,1,0,0,0,-0.9874960280176428,-0.6332229180872208,-0.9874960280176424,False,False,False,True,False,False,False,Otro,Two year
0191-ZHSKZ,0,Male,1,0,0,-0.0965540357978854,1,0,1,1,0,0,1,1,1,0.3319707901142591,-0.07431033764101187,0.3319707901142594,False,False,False,False,False,True,False,Electronic check,Month-to-month
0193-ESZXP,1,Female,1,1,0,1.0436161483629645,1,0,1,1,0,1,1,1,1,1.3539759452164248,1.73198076774863,1.353975945216425,True,False,True,False,True,False,False,Credit card (automatic),One year
0195-IESCP,1,Male,0,1,0,-0.9109613101984924,1,1,0,0,0,0,0,1,1,0.6809481601491449,-0.6284360834202584,0.6809481601491453,True,False,False,False,False,True,False,Electronic check,Month-to-month
0196-JTUQI,0,Female,0,0,0,-0.9516816739185228,1,1,0,0,0,0,0,0,1,0.3469269631157543,-0.7261360407473397,0.34692696311575466,True,False,False,False,True,False,False,Credit card (automatic),Month-to-month
0196-VULGZ,1,Female,1,1,0,-1.0738427650786138,1,1,0,0,0,0,0,1,1,0.6510358141461546,-0.7962620656610429,0.6510358141461549,True,False,False,False,False,True,False,Electronic check,Month-to-month
0197-PNKNK,0,Female,0,1,1,1.4915401492832983,1,1,1,0,1,0,0,0,0,0.6543594081464871,1.5745225840952761,0.6543594081464872,True,False,True,False,False,False,False,Otro,One year
0201-MIBOL,0,Female,1,0,0,1.369379058123207,1,1,1,0,0,0,1,1,1,1.2509445312061254,1.8494898381214824,1.2509445312061256,True,False,False,True,False,False,False,Otro,Two year
0201-OAMXR,1,Female,0,0,0,1.5322605130033284,1,1,1,1,1,1,1,1,0,1.6879971422498155,2.579978455616695,1.6879971422498157,True,False,True,False,True,False,False,Credit card (automatic),One year
0203-HHYIJ,1,Male,0,0,0,-0.30015585439803716,1,1,0,0,0,0,0,0,0,-1.3115464430500368,-0.7073857667062425,-1.3115464430500363,False,True,True,False,False,False,False,Otro,One year
0206-OYVOC,0,Female,0,1,1,0.5549717837226001,1,0,0,0,0,0,0,0,1,-1.5126238800701375,-0.6245095554445933,-1.5126238800701373,False,True,False,True,False,False,True,Mailed check,Two year
0206-TBWLC,0,Female,0,1,0,0.880734693482843,1,1,1,1,1,1,1,1,1,1.6580847962468257,1.6631562324448383,1.6580847962468257,True,False,True,False,False,False,True,Mailed check,One year
0207-MDKNV,1,Female,0,0,0,-0.7073594915983407,1,0,1,0,1,1,1,1,0,1.3406815692150957,-0.3074975692744679,1.3406815692150957,True,False,False,False,False,True,False,Electronic check,Month-to-month
0208-BPQEJ,0,Female,0,1,1,-0.8295205827584317,1,0,0,0,0,0,0,0,0,-1.5076384890696393,-0.9183814975334118,-1.5076384890696388,False,True,False,False,False,False,False,Otro,Month-to-month
0212-ISBBF,0,Female,0,0,0,-0.4223169455581282,0,0,0,1,0,0,1,1,1,-0.47898614596680894,-0.5209859835918066,-0.4789861459668085,False,False,False,False,False,True,False,Electronic check,Month-to-month
0214-JHPFW,0,Female,0,1,0,1.5322605130033284,0,0,0,1,1,1,1,1,0,-0.23137839294205673,0.7762903294468759,-0.23137839294205645,False,False,False,True,False,False,False,Otro,Two year
0215-BQKGS,0,Male,0,0,0,-0.0965540357978854,1,0,1,1,1,0,0,0,1,0.6493740171459885,0.07008883162136646,0.649374017145989,True,False,False,False,True,False,False,Credit card (automatic),Month-to-month
0218-QNVAS,0,Male,0,1,1,1.5729808767233588,1,1,0,1,0,0,1,1,0,1.1894580421999785,2.132685153579841,1.1894580421999787,True,False,True,False,False,False,False,Otro,One year
0219-QAERP,0,Male,0,1,0,-0.0965540357978854,1,0,0,0,0,0,0,0,0,-1.4943441130683104,-0.7513717036920632,-1.4943441130683097,False,True,True,False,True,False,False,Credit card (automatic),One year
0219-YTZUE,1,Male,0,1,1,-1.1552834925186746,1,1,0,1,1,0,0,0,1,0.6659919871476498,-0.84170390627829,0.6659919871476501,True,False,False,False,False,False,False,Otro,Month-to-month
0220-EBGCE,1,Male,0,0,0,-1.2367242199587352,1,0,0,0,1,0,0,1,1,0.7008897241511383,-0.9319699314267245,0.7008897241511384,True,False,False,False,False,True,False,Electronic check,Month-to-month
0221-NAUXK,0,Male,0,0,1,-0.9109613101984924,1,0,0,0,0,0,0,0,1,-1.4893587220678117,-0.9089401830750711,-1.4893587220678113,False,True,True,False,False,False,False,Otro,One year
0221-WMXNQ,0,Male,1,0,0,-1.1552834925186746,1,0,1,0,0,0,0,0,0,0.35191235411625243,-0.8851604237617738,0.3519123541162525,True,False,False,False,False,True,False,Electronic check,Month-to-month
0222-CNVPT,0,Male,1,0,0,0.7992939660427822,0,0,1,0,0,0,1,1,1,-0.5305018529719588,0.12146458249397266,-0.5305018529719586,False,False,False,False,True,False,False,Credit card (automatic),Month-to-month
0224-HJAPT,1,Male,0,0,0,-1.1145631287986442,1,1,0,0,0,0,0,0,0,-0.5853411539774409,-0.9073298654221298,-0.5853411539774406,False,False,False,False,False,True,False,Electronic check,Month-to-month
0224-NIJLP,0,Male,0,1,1,-0.9924020376385531,1,0,0,0,0,0,0,0,0,-1.4827115340671475,-0.9327640606802298,-1.4827115340671468,False,True,False,True,False,False,True,Mailed check,Two year
